Member_number,Date,itemDescription,Locations
2932,20-03-2015,Megared $1/1 product,Pleasanton
1711,18-06-2015,Aveeno $1/1 produc,San Jose
4291,8/12/2015,Axe Body Spray Product,Livermore
1143,25-04-2015,Axe Hair Care Product,
4564,8/7/2015,Coppertone lotion $3/1,Pleasanton
3337,14-05-2015,Dunkin Donuts $1/2 creamers,San Francisco
4931,4/5/2015,Farm Rich Bakery item 9.5 oz,San Jose
2623,10/10/2015,Coppertone lotion $3/1,Pleasanton
4581,3/4/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
2635,11/6/2015,Barabsol $.50/1 10oz shaving cream,Pleasanton
1095,30-10-2015,Axe Hair Care Product,Palo Alto
2990,23-05-2015,Barilla $1/2 Sauce,Pleasanton
2426,5/6/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4555,7/11/2015,Best Foods $1/1 mayonnaise squeeze,Fremont
3635,4/9/2015,Dinty Moore $1/2ÿ,Pacific Grove
3058,18-05-2015,Megared $1/1 product,Sausalito
4391,26-03-2015,Dinty Moore $1/2ÿ,
1306,23-06-2015,Dove Clinical Protection Deodorant Product,Klamath Falls
1024,10/8/2015,Dunkin Donuts $1/2 creamers,ANTIOCH
1295,23-07-2015,Bausch+Lomb $1/1,Santa Clara
1661,1/6/2015,Beefsteak 18 oz. breadÿ,San Francisco
4591,15-05-2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
3169,14-06-2015,Axe Hair Care Product,
3915,21-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
1127,14-01-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Saratoga
4828,8/8/2015,Bounty/Charmin $.50/1ÿ,San Jose
3683,10/6/2015,Coppertone lotion $3/1,Livermore
1971,18-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Rafael
3014,11/11/2015,Barabsol $.50/1 10oz shaving cream,Mountain View
3779,15-09-2015,Axe Hair Care Product,San Mateo
2489,4/5/2015,Barilla $1/2 Sauce,El Cerrito
3564,27-06-2015,Best Foods $1/1 mayonnaise squeeze,Newark
4092,30-09-2015,Best Foods $1/1 mayonnaise squeeze,San Pablo
3221,13-01-2015,Dinty Moore $1/2ÿ,Concord
1279,6/9/2015,Megared $1/1 product,
2581,22-08-2015,Aveeno $1/1 produc,
2295,25-02-2015,Axe Body Spray Product,San Francisco
4760,22-02-2015,Axe Hair Care Product,San Carlos
3649,16-01-2015,Best Foods $1/1 mayonnaise squeeze,
1075,19-11-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3987,19-08-2015,Dinty Moore $1/2ÿ,Mountain View
4106,25-08-2015,Megared $1/1 product,Oceanside
4338,24-06-2015,Dinty Moore $1/2ÿ,San Jose
4166,6/11/2015,Dove Clinical Protection Deodorant Product,Salinas
1211,10/3/2015,Dunkin Donuts $1/2 creamers,Vacaville
3954,21-01-2015,Bausch+Lomb $1/1,Oakland
3928,18-07-2015,Beefsteak 18 oz. breadÿ,San Jose
3827,30-09-2015,Best Foods $1/1 mayonnaise squeeze,San Leandro
4699,8/2/2015,Axe Hair Care Product,Hollister
4747,8/6/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
3028,9/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
2851,16-03-2015,Bounty/Charmin $.50/1ÿ,
4417,25-02-2015,Coppertone lotion $3/1,San Francisco
3822,7/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Mateo
2288,31-05-2015,Barabsol $.50/1 10oz shaving cream,Sunnyvale
2184,30-06-2015,Axe Hair Care Product,
4554,27-08-2015,Barilla $1/2 Sauce,Santa Clara
3361,5/3/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
2999,17-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Los Gatos
2614,25-06-2015,Coppertone lotion $3/1,
4064,5/6/2015,Dunkin Donuts $1/2 creamers,Santa Clara
3567,4/10/2015,Farm Rich Bakery item 9.5 oz,
2587,7/5/2015,Coppertone lotion $3/1,Palo Alto
3783,17-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Sunnyvale
1923,14-02-2015,Barabsol $.50/1 10oz shaving cream,Oakland
4835,19-02-2015,Axe Hair Care Product,Calistoga
1514,24-08-2015,Barilla $1/2 Sauce,San Francisco
3154,22-06-2015,Best Foods $1/1 mayonnaise squeeze,
1313,25-12-2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
2794,18-07-2015,Dinty Moore $1/2ÿ,Redwood City
2359,9/4/2015,Megared $1/1 product,San Jose
2238,9/3/2015,Dinty Moore $1/2ÿ,Milpitas
3795,17-01-2015,Dove Clinical Protection Deodorant Product,Santa Clara
3724,26-11-2015,Dunkin Donuts $1/2 creamers,Sunnyvale
1152,5/3/2015,Farm Rich Bakery item 9.5 oz,
4559,16-03-2015,Fiber One $.50/2 chewy bars,
3922,27-02-2015,Indiana Kitchen Baconÿ,
1709,22-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Saratoga
2219,17-04-2015,L'Oreal $2/1 skincare product ets,
2206,17-10-2015,Megared $1/1 product,San Carlos
1752,6/4/2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
3942,10/11/2015,Mitchum antiperspirant/deodorant prod,Redwood City
3296,17-08-2015,L'Oreal $2/1 skincare product ets,San Francisco
2257,5/2/2015,Farm Rich Bakery item 9.5 oz,Sunnyvale
4313,28-07-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Pablo
2001,21-08-2015,Coppertone lotion $3/1,
2449,8/7/2015,Dunkin Donuts $1/2 creamers,Pebble Beach
4914,12/4/2015,Farm Rich Bakery item 9.5 oz,
2764,24-07-2015,Coppertone lotion $3/1,San Jose
4187,9/5/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1392,20-04-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
3427,28-04-2015,Axe Hair Care Product,San Jose
1411,20-02-2015,Barilla $1/2 Sauce,
3390,14-11-2015,Best Foods $1/1 mayonnaise squeeze,Campbell
4787,1/8/2015,Best Foods $1/1 mayonnaise squeeze,Lotus
3310,17-01-2015,Dinty Moore $1/2ÿ,Santa Clara
1782,10/10/2015,Megared $1/1 product,San Leandro
3375,26-04-2015,Aveeno $1/1 produc,Tracy
2760,7/1/2015,Axe Body Spray Product,Milpitas
4249,13-09-2015,Axe Hair Care Product,Woodland
2904,6/6/2015,Ban $1/1 roll-on antiperspirant deodorantÿ,Pleasanton
4090,26-02-2015,Barabsol $.50/1 10oz shaving cream,
3060,5/7/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
3768,7/10/2015,Barilla $1/2 Sauce,San Jose
1232,21-01-2015,Bausch+Lomb $1/1,San Jose
1360,23-10-2015,Beefsteak 18 oz. breadÿ,
1107,1/10/2015,Best Foods $1/1 mayonnaise squeeze,San Mateo
2865,4/11/2015,Axe Hair Care Product,Pleasanton
2958,14-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
2448,12/7/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1222,24-09-2015,Bounty/Charmin $.50/1ÿ,San Jose
2943,20-06-2015,Coppertone lotion $3/1,Palo Alto
2270,11/8/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
3812,21-07-2015,Barabsol $.50/1 10oz shaving cream,Mountain View
1482,22-11-2015,Axe Hair Care Product,Las Vegas
4720,22-02-2015,Barilla $1/2 Sauce,San Francisco
1344,4/9/2015,Best Foods $1/1 mayonnaise squeeze,Klamath Falls
2397,4/10/2015,Coppertone lotion $3/1,
4182,12/5/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Morgan Hill
4487,10/7/2015,Barabsol $.50/1 10oz shaving cream,San Jose
3467,24-12-2015,Axe Hair Care Product,
2443,15-11-2015,Barilla $1/2 Sauce,
2749,27-01-2015,Best Foods $1/1 mayonnaise squeeze,Woodland
4389,13-04-2015,Best Foods $1/1 mayonnaise squeeze,
1674,4/12/2015,Dinty Moore $1/2ÿ,
4262,16-10-2015,Megared $1/1 product,Palo Alto
2082,7/4/2015,Dinty Moore $1/2ÿ,San Jose
4494,6/1/2015,Dove Clinical Protection Deodorant Product,San Carlos
2460,28-09-2015,Dunkin Donuts $1/2 creamers,Milpitas
4509,29-11-2015,Bausch+Lomb $1/1,Campbell
2267,3/7/2015,Beefsteak 18 oz. breadÿ,
4891,5/9/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3962,20-09-2015,Axe Hair Care Product,San Pablo
4964,18-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
2914,30-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Los Gatos
2808,5/5/2015,Bounty/Charmin $.50/1ÿ,
1085,15-08-2015,Coppertone lotion $3/1,San Jose
3808,18-08-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Carlos
4149,7/1/2015,Barabsol $.50/1 10oz shaving cream,
2331,5/6/2015,Axe Hair Care Product,San Jose
4475,3/4/2015,Barilla $1/2 Sauce,San Jose
2761,25-04-2015,Best Foods $1/1 mayonnaise squeeze,Mountain View
2620,14-12-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3206,13-10-2015,Dinty Moore $1/2ÿ,
1226,13-04-2015,Megared $1/1 product,San Jose
1395,7/3/2015,Aveeno $1/1 produc,San Francisco
2465,7/6/2015,Axe Body Spray Product,San Jose
3572,9/7/2015,Axe Hair Care Product,Santa Clara
4387,8/5/2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
1555,27-03-2015,Best Foods $1/1 mayonnaise squeeze,Hollister
1181,16-11-2015,Dinty Moore $1/2ÿ,Pleasanton
2814,11/5/2015,Megared $1/1 product,San Jose
2794,16-09-2015,Dinty Moore $1/2ÿ,Livermore
2912,28-01-2015,Dove Clinical Protection Deodorant Product,
4667,12/1/2015,Dunkin Donuts $1/2 creamers,Pleasanton
2235,25-10-2015,Bausch+Lomb $1/1,San Francisco
2353,2/5/2015,Beefsteak 18 oz. breadÿ,San Jose
3449,8/3/2015,Best Foods $1/1 mayonnaise squeeze,Pleasanton
1058,10/11/2015,Axe Hair Care Product,Pleasanton
1027,17-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Pleasanton
3302,22-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Palo Alto
2229,30-05-2015,Bounty/Charmin $.50/1ÿ,Pleasanton
2188,15-08-2015,Coppertone lotion $3/1,San Jose
1547,18-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Fremont
1649,30-06-2015,Barabsol $.50/1 10oz shaving cream,Pacific Grove
3254,10/9/2015,Axe Hair Care Product,Sausalito
2818,7/11/2015,Barilla $1/2 Sauce,
2703,8/5/2015,Best Foods $1/1 mayonnaise squeeze,Klamath Falls
3332,31-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,ANTIOCH
2473,1/7/2015,Coppertone lotion $3/1,Santa Clara
2810,30-12-2015,Dunkin Donuts $1/2 creamers,San Francisco
1033,22-04-2015,Farm Rich Bakery item 9.5 oz,Palo Alto
4222,27-05-2015,Coppertone lotion $3/1,
3679,21-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
2212,27-08-2015,Barabsol $.50/1 10oz shaving cream,Saratoga
1507,22-06-2015,Axe Hair Care Product,San Jose
2870,21-01-2015,Barilla $1/2 Sauce,Livermore
3429,26-04-2015,Best Foods $1/1 mayonnaise squeeze,San Rafael
4148,9/4/2015,Best Foods $1/1 mayonnaise squeeze,Mountain View
2970,30-12-2015,Dinty Moore $1/2ÿ,San Mateo
2013,30-08-2015,Megared $1/1 product,El Cerrito
3967,30-05-2015,Dinty Moore $1/2ÿ,Newark
2885,15-05-2015,Dove Clinical Protection Deodorant Product,San Pablo
3935,2/7/2015,Dunkin Donuts $1/2 creamers,Concord
3283,1/5/2015,Farm Rich Bakery item 9.5 oz,
3268,6/11/2015,Fiber One $.50/2 chewy bars,
3677,30-04-2015,Indiana Kitchen Baconÿ,San Francisco
3495,27-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Carlos
1410,4/10/2015,L'Oreal $2/1 skincare product ets,
2440,6/6/2015,Megared $1/1 product,San Jose
4088,13-01-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Mountain View
2469,23-09-2015,Mitchum antiperspirant/deodorant prod,Oceanside
4229,6/3/2015,L'Oreal $2/1 skincare product ets,San Jose
2728,2/8/2015,Farm Rich Bakery item 9.5 oz,Salinas
4694,25-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Vacaville
2836,29-12-2015,Coppertone lotion $3/1,Oakland
1311,12/2/2015,Dunkin Donuts $1/2 creamers,San Jose
1760,23-01-2015,Farm Rich Bakery item 9.5 oz,San Leandro
3656,2/3/2015,Coppertone lotion $3/1,Hollister
3720,28-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Francisco
2996,26-09-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
1949,22-07-2015,Axe Hair Care Product,
4498,11/2/2015,Barilla $1/2 Sauce,San Francisco
2447,28-12-2015,Best Foods $1/1 mayonnaise squeeze,San Mateo
1952,23-03-2015,Best Foods $1/1 mayonnaise squeeze,Sunnyvale
4099,27-01-2015,Dinty Moore $1/2ÿ,
1804,12/3/2015,Megared $1/1 product,Santa Clara
1510,16-05-2015,Aveeno $1/1 produc,San Jose
2879,18-04-2015,Axe Body Spray Product,Los Gatos
4899,12/3/2015,Axe Hair Care Product,
4326,29-09-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,Santa Clara
1670,17-05-2015,Barabsol $.50/1 10oz shaving cream,
1117,24-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Palo Alto
1346,3/4/2015,Barilla $1/2 Sauce,Sunnyvale
1178,15-11-2015,Bausch+Lomb $1/1,Oakland
1649,25-06-2015,Beefsteak 18 oz. breadÿ,Calistoga
4651,21-06-2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
4243,2/4/2015,Axe Hair Care Product,
4429,21-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Pleasanton
4645,25-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Redwood City
4019,24-07-2015,Bounty/Charmin $.50/1ÿ,San Jose
4459,26-04-2015,Coppertone lotion $3/1,Milpitas
3006,27-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Santa Clara
1834,17-09-2015,Barabsol $.50/1 10oz shaving cream,Sunnyvale
3236,4/7/2015,Axe Hair Care Product,
1765,11/3/2015,Barabsol $.50/1 10oz shaving cream,
3855,9/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
4392,28-11-2015,Barilla $1/2 Sauce,Saratoga
3330,26-07-2015,Bausch+Lomb $1/1,
1723,2/9/2015,Beefsteak 18 oz. breadÿ,San Carlos
4110,30-03-2015,Best Foods $1/1 mayonnaise squeeze,
2600,28-01-2015,Axe Hair Care Product,Redwood City
2946,7/10/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
2426,8/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Sunnyvale
4170,3/5/2015,Bounty/Charmin $.50/1ÿ,San Pablo
1109,6/4/2015,Coppertone lotion $3/1,
3429,4/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pebble Beach
2055,4/2/2015,Barabsol $.50/1 10oz shaving cream,
2480,20-09-2015,Axe Hair Care Product,San Jose
2441,30-05-2015,Barilla $1/2 Sauce,San Jose
1054,4/10/2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
4818,11/1/2015,Best Foods $1/1 mayonnaise squeeze,San Jose
3379,21-01-2015,Dinty Moore $1/2ÿ,
3939,10/2/2015,Megared $1/1 product,Campbell
1367,5/8/2015,Aveeno $1/1 produc,Lotus
1043,10/1/2015,Axe Body Spray Product,Santa Clara
2231,17-10-2015,Axe Hair Care Product,San Leandro
3235,28-12-2015,Coppertone lotion $3/1,Tracy
4554,16-07-2015,Dunkin Donuts $1/2 creamers,Milpitas
3245,24-01-2015,Farm Rich Bakery item 9.5 oz,Woodland
2996,19-05-2015,Coppertone lotion $3/1,Pleasanton
2507,5/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag,
4186,25-10-2015,Farm Rich Bakery item 9.5 oz,San Jose
3929,28-04-2015,Coppertone lotion $3/1,San Jose
3760,22-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
4928,18-08-2015,Barabsol $.50/1 10oz shaving cream,
4217,18-12-2015,Axe Hair Care Product,San Mateo
1174,11/2/2015,Barilla $1/2 Sauce,Pleasanton
4103,19-06-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
4408,13-03-2015,Best Foods $1/1 mayonnaise squeeze,San Jose
2588,28-12-2015,Dinty Moore $1/2ÿ,San Jose
2598,11/11/2015,Megared $1/1 product,Palo Alto
1518,11/12/2015,Dinty Moore $1/2ÿ,Santa Clara
2702,8/4/2015,Dove Clinical Protection Deodorant Product,Mountain View
1001,20-01-2015,Dunkin Donuts $1/2 creamers,Las Vegas
2270,30-09-2015,Farm Rich Bakery item 9.5 oz,San Francisco
2838,10/11/2015,Fiber One $.50/2 chewy bars,Klamath Falls
1683,26-05-2015,Indiana Kitchen Baconÿ,
4040,3/4/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Morgan Hill
3897,23-08-2015,L'Oreal $2/1 skincare product ets,San Jose
2200,11/3/2015,Megared $1/1 product,
4073,29-01-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
3700,19-04-2015,Mitchum antiperspirant/deodorant prod,Woodland
3973,10/6/2015,L'Oreal $2/1 skincare product ets,
2715,6/7/2015,Farm Rich Bakery item 9.5 oz,
3967,23-11-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Palo Alto
4002,3/9/2015,Coppertone lotion $3/1,San Jose
2962,1/3/2015,Dunkin Donuts $1/2 creamers,San Carlos
4340,25-12-2015,Farm Rich Bakery item 9.5 oz,Milpitas
2092,6/11/2015,Coppertone lotion $3/1,Campbell
3143,24-05-2015,Dunkin Donuts $1/2 creamers,
2209,3/10/2015,Farm Rich Bakery item 9.5 oz,San Jose
2816,22-08-2015,Coppertone lotion $3/1,San Pablo
2659,1/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1588,13-10-2015,Barabsol $.50/1 10oz shaving cream,Los Gatos
1144,15-10-2015,Axe Hair Care Product,
2166,10/12/2015,Barilla $1/2 Sauce,San Jose
3300,6/10/2015,Best Foods $1/1 mayonnaise squeeze,San Carlos
3944,3/1/2015,Best Foods $1/1 mayonnaise squeeze,
4979,24-04-2015,Dinty Moore $1/2ÿ,San Jose
2630,21-01-2015,Megared $1/1 product,San Jose
4240,29-04-2015,Dinty Moore $1/2ÿ,Mountain View
2357,8/7/2015,Dove Clinical Protection Deodorant Product,San Jose
1743,18-04-2015,Dunkin Donuts $1/2 creamers,
2331,15-02-2015,Farm Rich Bakery item 9.5 oz,San Jose
1643,28-04-2015,Fiber One $.50/2 chewy bars,San Francisco
1291,20-03-2015,Indiana Kitchen Baconÿ,San Jose
3675,4/7/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,Santa Clara
4134,6/11/2015,Barabsol $.50/1 10oz shaving cream,San Francisco
1363,21-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,Hollister
4212,1/5/2015,Barilla $1/2 Sauce,Pleasanton
1500,21-03-2015,Bausch+Lomb $1/1,San Jose
2622,1/10/2015,Beefsteak 18 oz. breadÿ,Livermore
3543,18-03-2015,Best Foods $1/1 mayonnaise squeeze,
2525,24-05-2015,Axe Hair Care Product,Pleasanton
1264,12/10/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Francisco
3601,6/7/2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
1771,23-03-2015,Bounty/Charmin $.50/1ÿ,Pleasanton
4694,6/2/2015,Coppertone lotion $3/1,Pleasanton
1122,21-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Pleasanton
3507,12/8/2015,Barabsol $.50/1 10oz shaving cream,Palo Alto
4524,26-04-2015,Axe Hair Care Product,Pleasanton
3612,27-09-2015,Barilla $1/2 Sauce,San Jose
3262,11/6/2015,Best Foods $1/1 mayonnaise squeeze,Fremont
1897,25-01-2015,Best Foods $1/1 mayonnaise squeeze,Pacific Grove
1656,30-10-2015,Dinty Moore $1/2ÿ,Sausalito
3953,10/1/2015,Megared $1/1 product,
1488,21-06-2015,Aveeno $1/1 produc,Klamath Falls
1652,17-03-2015,Axe Body Spray Product,ANTIOCH
4953,16-09-2015,Axe Hair Care Product,Santa Clara
3445,30-04-2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
3180,15-03-2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
4934,6/9/2015,Dinty Moore $1/2ÿ,
2980,27-04-2015,Megared $1/1 product,San Jose
